order_id,injected_issue
ORD-10001,
ORD-10002,
ORD-10003,
ORD-10004,DUPLICATE_UTR
ORD-10005,
ORD-10006,GST_ROUNDING_DELTA
ORD-10007,
ORD-10008,
ORD-10009,WRONG_MDR_TIER
ORD-10010,
ORD-10011,
ORD-10012,
ORD-10013,
ORD-10014,TDS_MISMATCH
ORD-10015,
ORD-10016,
ORD-10017,
ORD-10018,
ORD-10019,
ORD-10020,
ORD-10021,WRONG_MDR_TIER
ORD-10022,
ORD-10023,
ORD-10024,
ORD-10025,
ORD-10026,
ORD-10027,
ORD-10028,
ORD-10029,
ORD-10030,
ORD-10031,
UNKNOWN-2085,UNLINKED_DEDUCTION
ORD-10033,
ORD-10034,
ORD-10035,
ORD-10036,
ORD-10037,
ORD-10038,
ORD-10039,
ORD-10040,
ORD-10041,
ORD-10042,
ORD-10043,
ORD-10044,
ORD-10045,
ORD-10046,
ORD-10047,
ORD-10048,
ORD-10049,
ORD-10050,
ORD-10051,
ORD-10052,
ORD-10053,
ORD-10054,
ORD-10055,
ORD-10056,
ORD-10057,
ORD-10058,
UNKNOWN-4915,UNLINKED_DEDUCTION
ORD-10060,
ORD-10061,
ORD-10062,
ORD-10063,
ORD-10064,
ORD-10065,
ORD-10066,
ORD-10067,
ORD-10068,
ORD-10069,
ORD-10070,
ORD-10071,
ORD-10072,
ORD-10073,
ORD-10074,GST_ROUNDING_DELTA
ORD-10075,
ORD-10076,
ORD-10077,
ORD-10078,
ORD-10079,
ORD-10080,
ORD-10081,
ORD-10082,SPLIT_SETTLEMENT
ORD-10083,
ORD-10084,
ORD-10085,
ORD-10086,
ORD-10087,
ORD-10088,
ORD-10089,
ORD-10090,
ORD-10091,
ORD-10092,
ORD-10093,
ORD-10094,
ORD-10095,
ORD-10096,
ORD-10097,
ORD-10098,
ORD-10099,
ORD-10100,
ORD-10101,
ORD-10102,
ORD-10103,
ORD-10104,
ORD-10105,
ORD-10106,
ORD-10107,
ORD-10108,
ORD-10109,
ORD-10110,
ORD-10111,
ORD-10112,
ORD-10113,
ORD-10114,
ORD-10115,
ORD-10116,
ORD-10117,DUPLICATE_UTR
ORD-10118,
ORD-10119,WRONG_MDR_TIER
ORD-10120,
ORD-10121,
ORD-10122,
ORD-10123,
ORD-10124,
ORD-10125,
ORD-10126,
