settlement_id,utr,credit_date,credit_amount
SET-20260102,UTR-635632,2026-01-06,433877.24
SET-20260102-SPLIT,UTR-738779,2026-01-06,8141.86
SET-20260105,UTR-144619,2026-01-07,1374068.64
SET-20260106,UTR-598750,2026-01-08,511646.54
SET-20260106-SPLIT,UTR-731395,2026-01-08,396.41
SET-20260107,UTR-701952,2026-01-09,409540.59
SET-20260108,UTR-326351,2026-01-12,417582.58
SET-20260108-SPLIT,UTR-233015,2026-01-12,1533.06
SET-20260109,UTR-321257,2026-01-13,426209.76
SET-20260109-SPLIT,UTR-815577,2026-01-13,3610.06
SET-20260112,UTR-212319,2026-01-14,1436898.68
SET-20260112-SPLIT,UTR-514237,2026-01-14,4135.60
SET-20260113,UTR-894780,2026-01-15,445036.28
SET-20260114,UTR-308358,2026-01-16,468812.83
SET-20260115,UTR-564137,2026-01-19,447719.39
SET-20260116,UTR-771999,2026-01-20,491796.56
SET-20260116-SPLIT,UTR-185030,2026-01-20,7555.37
SET-20260119,UTR-557782,2026-01-21,1712000.59
SET-20260119-SPLIT,UTR-797371,2026-01-21,2632.99
SET-20260120,UTR-869937,2026-01-22,452182.31
SET-20260120-SPLIT,UTR-334408,2026-01-22,2757.33
SET-20260121,UTR-466709,2026-01-28,423078.78
SET-20260122,UTR-905072,2026-01-26,456000.68
SET-20260122-SPLIT,UTR-135402,2026-01-26,12192.11
SET-20260123,UTR-165088,2026-01-27,460184.40
SET-20260126,UTR-495107,2026-01-28,1422660.93
SET-20260126-SPLIT,UTR-259331,2026-01-28,17436.64
SET-20260127,UTR-556237,2026-01-29,583831.90
SET-20260128,UTR-701952,2026-01-30,387010.20
SET-20260129,UTR-283688,2026-02-02,524911.38
SET-20260129-SPLIT,UTR-241755,2026-02-02,5933.86
SET-20260130,UTR-554299,2026-02-03,485912.35
SET-20260202,UTR-896399,2026-02-04,554662.95
