order_id,order_date,customer_id,gross_amount,payment_instrument,contracted_mdr_rate,refund_amount,refund_date,expected_mdr,expected_gst_on_mdr,expected_tds,expected_net_amount
ORD-10001,2026-01-07,CUST-1860,2914.83,Card,0.02,0.00,,58.30,10.49,29.15,2816.89
ORD-10002,2026-01-26,CUST-1466,1679.63,UPI,0.00,0.00,,0.00,0.00,16.80,1662.83
ORD-10003,2026-01-08,CUST-9322,504.65,Wallet,0.018,0.00,,9.08,1.63,5.05,488.89
ORD-10004,2026-01-06,CUST-3433,2891.01,UPI,0.00,0.00,,0.00,0.00,28.91,2862.10
ORD-10005,2026-01-22,CUST-7396,6592.79,UPI,0.00,0.00,,0.00,0.00,65.93,6526.86
ORD-10006,2026-01-10,CUST-3047,4523.74,UPI,0.00,0.00,,0.00,0.00,45.24,4478.50
ORD-10007,2026-01-15,CUST-4005,3155.17,UPI,0.00,0.00,,0.00,0.00,31.55,3123.62
ORD-10008,2026-01-03,CUST-4556,9191.66,UPI,0.00,0.00,,0.00,0.00,91.92,9099.74
ORD-10009,2026-01-04,CUST-9792,14491.35,NetBanking,0.015,0.00,,217.37,39.13,144.91,14089.94
ORD-10010,2026-01-21,CUST-8041,10326.65,UPI,0.00,0.00,,0.00,0.00,103.27,10223.38
ORD-10011,2026-01-29,CUST-1775,708.95,Wallet,0.018,0.00,,12.76,2.30,7.09,686.80
ORD-10012,2026-01-08,CUST-8555,4813.32,UPI,0.00,0.00,,0.00,0.00,48.13,4765.19
ORD-10013,2026-01-22,CUST-7873,6856.36,UPI,0.00,0.00,,0.00,0.00,68.56,6787.80
ORD-10014,2026-01-16,CUST-8629,3100.55,UPI,0.00,0.00,,0.00,0.00,31.01,3069.54
ORD-10015,2026-01-16,CUST-8916,4215.97,NetBanking,0.015,0.00,,63.24,11.38,42.16,4099.19
ORD-10016,2026-01-28,CUST-7331,8231.90,UPI,0.00,0.00,,0.00,0.00,82.32,8149.58
ORD-10017,2026-01-01,CUST-9006,6466.34,UPI,0.00,0.00,,0.00,0.00,64.66,6401.68
ORD-10018,2026-01-11,CUST-6618,10661.49,Card,0.02,0.00,,213.23,38.38,106.61,10303.27
ORD-10019,2026-01-05,CUST-4561,5505.29,UPI,0.00,0.00,,0.00,0.00,55.05,5450.24
ORD-10020,2026-01-08,CUST-4104,1140.66,UPI,0.00,0.00,,0.00,0.00,11.41,1129.25
ORD-10021,2026-01-03,CUST-3731,9635.85,NetBanking,0.015,0.00,,144.54,26.02,96.36,9368.93
ORD-10022,2026-01-05,CUST-9110,10756.02,Card,0.02,0.00,,215.12,38.72,107.56,10394.62
ORD-10023,2026-01-14,CUST-7938,7936.45,UPI,0.00,1221.78,2026-01-19,0.00,0.00,79.36,6635.31
ORD-10024,2026-01-07,CUST-8408,4852.47,UPI,0.00,0.00,,0.00,0.00,48.52,4803.95
ORD-10025,2026-01-23,CUST-7374,6273.67,Card,0.02,0.00,,125.47,22.58,62.74,6062.88
ORD-10026,2026-01-07,CUST-4157,13230.92,Card,0.02,0.00,,264.62,47.63,132.31,12786.36
ORD-10027,2026-01-21,CUST-3693,6956.71,UPI,0.00,0.00,,0.00,0.00,69.57,6887.14
ORD-10028,2026-01-30,CUST-6450,5000.31,UPI,0.00,0.00,,0.00,0.00,50.00,4950.31
ORD-10029,2026-01-30,CUST-8392,4227.56,Card,0.02,1168.01,2026-02-04,84.55,15.22,42.28,2917.50
ORD-10030,2026-01-07,CUST-9901,7759.06,UPI,0.00,0.00,,0.00,0.00,77.59,7681.47
ORD-10031,2026-01-19,CUST-1663,14155.06,UPI,0.00,0.00,,0.00,0.00,141.55,14013.51
ORD-10032,2026-01-09,CUST-4763,5581.72,Wallet,0.018,0.00,,100.47,18.08,55.82,5407.35
ORD-10033,2026-01-30,CUST-8554,4653.00,UPI,0.00,1883.45,2026-02-03,0.00,0.00,46.53,2723.02
ORD-10034,2026-01-28,CUST-1854,4323.97,Wallet,0.018,0.00,,77.83,14.01,43.24,4188.89
ORD-10035,2026-01-02,CUST-6172,7443.90,International Card,0.03,0.00,,223.32,40.20,74.44,7105.94
ORD-10036,2026-01-04,CUST-4510,11471.97,UPI,0.00,0.00,,0.00,0.00,114.72,11357.25
ORD-10037,2026-01-24,CUST-9004,9558.13,Card,0.02,0.00,,191.16,34.41,95.58,9236.98
ORD-10038,2026-01-16,CUST-7287,12562.48,UPI,0.00,0.00,,0.00,0.00,125.62,12436.86
ORD-10039,2026-01-29,CUST-1659,5024.19,UPI,0.00,0.00,,0.00,0.00,50.24,4973.95
