settlement_id,settlement_date,order_id,claimed_gross_amount,claimed_mdr_amount,claimed_gst_on_mdr,claimed_tds,claimed_refund_deducted,claimed_net_amount
SET-20260108,2026-01-08,ORD-10001,2914.83,58.30,10.49,29.15,0.00,2816.89
SET-20260127,2026-01-27,ORD-10002,1679.63,0.00,0.00,16.80,0.00,1662.83
SET-20260109,2026-01-09,ORD-10003,504.65,9.08,1.63,5.05,0.00,488.89
SET-20260107,2026-01-07,ORD-10004,2891.01,0.00,0.00,28.91,0.00,2862.10
SET-20260123,2026-01-23,ORD-10005,6592.79,0.00,0.00,65.93,0.00,6526.86
SET-20260112,2026-01-12,ORD-10006,4523.74,0.00,-0.05,45.24,0.00,4478.50
SET-20260116,2026-01-16,ORD-10007,3155.17,0.00,0.00,31.55,0.00,3123.62
SET-20260105,2026-01-05,ORD-10008,9191.66,0.00,0.00,91.92,0.00,9099.74
SET-20260105,2026-01-05,ORD-10009,14491.35,362.28,39.13,144.91,0.00,14089.94
SET-20260122,2026-01-22,ORD-10010,10326.65,0.00,0.00,103.27,0.00,10223.38
SET-20260130,2026-01-30,ORD-10011,708.95,12.76,2.30,7.09,0.00,686.80
SET-20260109,2026-01-09,ORD-10012,4813.32,0.00,0.00,48.13,0.00,4765.19
SET-20260123,2026-01-23,ORD-10013,6856.36,0.00,0.00,68.56,0.00,6787.80
SET-20260119,2026-01-19,ORD-10014,3100.55,0.00,0.00,62.01,0.00,3069.54
SET-20260119,2026-01-19,ORD-10015,4215.97,63.24,11.38,42.16,0.00,4099.19
SET-20260129,2026-01-29,ORD-10016,8231.90,0.00,0.00,82.32,0.00,8149.58
SET-20260102,2026-01-02,ORD-10017,6466.34,0.00,0.00,64.66,0.00,6401.68
SET-20260112,2026-01-12,ORD-10018,10661.49,213.23,38.38,106.61,0.00,10303.27
SET-20260106,2026-01-06,ORD-10019,5505.29,0.00,0.00,55.05,0.00,5450.24
SET-20260109,2026-01-09,ORD-10020,1140.66,0.00,0.00,11.41,0.00,1129.25
SET-20260105,2026-01-05,ORD-10021,9635.85,240.90,26.02,96.36,0.00,9368.93
SET-20260106,2026-01-06,ORD-10022,10756.02,215.12,38.72,107.56,0.00,10394.62
SET-20260115,2026-01-15,ORD-10023,7936.45,0.00,0.00,79.36,1221.78,6635.31
SET-20260108,2026-01-08,ORD-10024,4852.47,0.00,0.00,48.52,0.00,4803.95
SET-20260126,2026-01-26,ORD-10025,6273.67,125.47,22.58,62.74,0.00,6062.88
SET-20260108,2026-01-08,ORD-10026,13230.92,264.62,47.63,132.31,0.00,12786.36
SET-20260122,2026-01-22,ORD-10027,6956.71,0.00,0.00,69.57,0.00,6887.14
SET-20260202,2026-02-02,ORD-10028,5000.31,0.00,0.00,50.00,0.00,4950.31
SET-20260202,2026-02-02,ORD-10029,4227.56,84.55,15.22,42.28,1168.01,2917.50
SET-20260108,2026-01-08,ORD-10030,7759.06,0.00,0.00,77.59,0.00,7681.47
SET-20260120,2026-01-20,ORD-10031,14155.06,0.00,0.00,141.55,0.00,14013.51
SET-20260112,2026-01-12,UNKNOWN-2085,5581.72,100.47,18.08,55.82,500.00,5407.35
SET-20260202,2026-02-02,ORD-10033,4653.00,0.00,0.00,46.53,1883.45,2723.02
SET-20260129,2026-01-29,ORD-10034,4323.97,77.83,14.01,43.24,0.00,4188.89
SET-20260105,2026-01-05,ORD-10035,7443.90,223.32,40.20,74.44,0.00,7105.94
SET-20260105,2026-01-05,ORD-10036,11471.97,0.00,0.00,114.72,0.00,11357.25
SET-20260126,2026-01-26,ORD-10037,9558.13,191.16,34.41,95.58,0.00,9236.98
SET-20260119,2026-01-19,ORD-10038,12562.48,0.00,0.00,125.62,0.00,12436.86
SET-20260130,2026-01-30,ORD-10039,5024.19,0.00,0.00,50.24,0.00,4973.95
SET-20260120,2026-01-20,ORD-10040,1623.41,29.22,5.26,16.23,0.00,1572.70
SET-20260108,2026-01-08,ORD-10041,12598.11,251.96,45.35,125.98,0.00,12174.82
SET-20260119,2026-01-19,ORD-10042,13184.62,0.00,0.00,131.85,0.00,13052.77
SET-20260127,2026-01-27,ORD-10043,8416.97,0.00,0.00,84.17,0.00,8332.80
SET-20260119,2026-01-19,ORD-10044,13526.19,270.52,48.69,135.26,0.00,13071.72
SET-20260105,2026-01-05,ORD-10045,13477.23,202.16,36.39,134.77,0.00,13103.91
SET-20260126,2026-01-26,ORD-10046,2592.10,38.88,7.00,25.92,0.00,2520.30
SET-20260105,2026-01-05,ORD-10047,14113.97,254.05,45.73,141.14,0.00,13673.05
SET-20260115,2026-01-15,ORD-10048,7387.08,0.00,0.00,73.87,0.00,7313.21
SET-20260105,2026-01-05,ORD-10049,467.52,0.00,0.00,4.68,0.00,462.84
SET-20260126,2026-01-26,ORD-10050,11213.72,224.27,40.37,112.14,0.00,10836.94
SET-20260119,2026-01-19,ORD-10051,7730.45,154.61,27.83,77.30,0.00,7470.71
SET-20260202,2026-02-02,ORD-10052,7403.78,133.27,23.99,74.04,0.00,7172.48
SET-20260122,2026-01-22,ORD-10053,9747.53,194.95,35.09,97.48,0.00,9420.01
SET-20260129,2026-01-29,ORD-10054,7588.06,151.76,27.32,75.88,0.00,7333.10
SET-20260119,2026-01-19,ORD-10055,14118.79,254.14,45.75,141.19,0.00,13677.71
SET-20260105,2026-01-05,ORD-10056,13939.11,0.00,0.00,139.39,0.00,13799.72
SET-20260105,2026-01-05,ORD-10057,12824.54,0.00,0.00,128.25,0.00,12696.29
SET-20260126,2026-01-26,ORD-10058,4890.45,0.00,0.00,48.90,0.00,4841.55
SET-20260123,2026-01-23,UNKNOWN-4915,13964.25,0.00,0.00,139.64,500.00,13824.61
SET-20260116,2026-01-16,ORD-10060,2273.24,0.00,0.00,22.73,0.00,2250.51
SET-20260119,2026-01-19,ORD-10061,2222.00,44.44,8.00,22.22,0.00,2147.34
SET-20260112,2026-01-12,ORD-10062,6412.76,0.00,0.00,64.13,0.00,6348.63
SET-20260129,2026-01-29,ORD-10063,276.74,5.53,1.00,2.77,0.00,267.44
SET-20260109,2026-01-09,ORD-10064,6072.40,0.00,0.00,60.72,0.00,6011.68
SET-20260116,2026-01-16,ORD-10065,8758.55,0.00,0.00,87.59,0.00,8670.96
SET-20260202,2026-02-02,ORD-10066,12616.22,189.24,34.06,126.16,0.00,12266.76
SET-20260112,2026-01-12,ORD-10067,5530.82,0.00,0.00,55.31,0.00,5475.51
SET-20260122,2026-01-22,ORD-10068,3394.15,67.88,12.22,33.94,0.00,3280.11
SET-20260114,2026-01-14,ORD-10069,6288.04,125.76,22.64,62.88,0.00,6076.76
SET-20260119,2026-01-19,ORD-10070,7841.25,0.00,0.00,78.41,0.00,7762.84
SET-20260120,2026-01-20,ORD-10071,1361.15,0.00,0.00,13.61,0.00,1347.54
SET-20260126,2026-01-26,ORD-10072,10500.42,0.00,0.00,105.00,0.00,10395.42
SET-20260102,2026-01-02,ORD-10073,1589.32,0.00,0.00,15.89,0.00,1573.43
SET-20260102,2026-01-02,ORD-10074,7847.10,156.94,28.27,78.47,0.00,7583.44
SET-20260130,2026-01-30,ORD-10075,3866.42,0.00,0.00,38.66,0.00,3827.76
SET-20260126,2026-01-26,ORD-10076,1593.52,0.00,0.00,15.94,0.00,1577.58
SET-20260106,2026-01-06,ORD-10077,7475.91,0.00,0.00,74.76,0.00,7401.15
SET-20260202,2026-02-02,ORD-10078,6097.87,121.96,21.95,60.98,0.00,5892.98
SET-20260105,2026-01-05,ORD-10079,426.51,7.68,1.38,4.27,0.00,413.18
SET-20260126,2026-01-26,ORD-10080,9314.60,167.66,30.18,93.15,0.00,9023.61
SET-20260129,2026-01-29,ORD-10081,14115.41,282.31,50.82,141.15,0.00,13641.13
SET-20260129,2026-01-29,ORD-10082,12205.82,183.09,32.96,122.06,0.00,5933.86
SET-20260102,2026-01-02,ORD-10083,9841.97,0.00,0.00,98.42,0.00,9743.55
SET-20260113,2026-01-13,ORD-10084,5783.43,0.00,0.00,57.83,0.00,5725.60
SET-20260126,2026-01-26,ORD-10085,5903.87,118.08,21.25,59.04,0.00,5705.50
SET-20260120,2026-01-20,ORD-10086,7541.35,150.83,27.15,75.41,0.00,7287.96
SET-20260112,2026-01-12,ORD-10087,779.96,0.00,0.00,7.80,0.00,772.16
SET-20260105,2026-01-05,ORD-10088,11309.10,169.64,30.54,113.09,0.00,10995.83
SET-20260119,2026-01-19,ORD-10089,5705.87,114.12,20.54,57.06,0.00,5514.15
SET-20260202,2026-02-02,ORD-10090,10261.70,205.23,36.94,102.62,0.00,9916.91
SET-20260202,2026-02-02,ORD-10091,12431.57,0.00,0.00,124.32,0.00,12307.25
SET-20260119,2026-01-19,ORD-10092,14386.41,215.80,38.84,143.86,0.00,13987.91
SET-20260129,2026-01-29,ORD-10093,10216.19,0.00,0.00,102.16,0.00,10114.03
